0.64	35.0495
0.23	35.0057
0.03	35.4955
0.95	35.2935
0.95	35.3393
0.47	35.4829
0.00	35.6245
0.15	35.4717
0.48	35.7321
0.63	35.4567
0.48	35.0233
0.51	35.7177
0.83	35.8106
0.36	35.3045
0.97	35.6869
0.36	35.0497
0.93	35.1555
0.76	35.7150
0.77	35.9912
0.58	35.3015
0.22	35.5324
0.44	35.9756
0.51	35.2991
0.23	35.2881
0.50	35.4022
0.40	35.8123
0.99	35.7386
0.40	35.5481
0.60	35.6242
0.64	35.6057
0.15	35.3499
0.64	35.6078
0.74	35.9811
0.21	35.3705
0.00	35.3342
0.11	35.0754
0.96	35.9829
0.17	35.3148
0.62	35.2739
0.89	35.7777
0.02	35.9086
0.95	35.2198
0.74	35.6107
0.92	35.7388
0.61	35.0868
0.58	35.2950
0.45	35.1099
0.10	35.1274
0.18	35.8981
0.27	35.2108
0.61	35.1533
0.20	35.7648
0.59	35.4782
0.86	35.5210
0.54	35.7101
0.67	35.9466
0.57	35.7073
0.38	35.8111
0.38	35.4244
0.43	35.0319
0.76	35.2876
0.95	35.0280
0.39	35.7167
0.38	35.7858
0.05	35.9689
0.62	35.5488
0.20	35.3710
0.23	35.9210
0.72	35.7704
0.73	35.3684
0.04	35.1719
0.19	35.9816
0.97	35.9579
0.73	35.2438
0.06	35.6814
0.76	35.6739
0.27	35.9643
0.07	35.4480
0.59	35.3081
0.62	35.3242
0.52	35.0885
0.16	35.4216
0.91	35.3046
0.45	35.2163
0.01	35.8429
0.25	35.1781
0.22	35.3168
0.32	35.2184
0.30	35.3783
0.08	35.4404
0.66	35.2360
0.53	35.0452
0.94	35.1010
0.12	35.9870
0.87	35.3898
0.98	35.4245
0.45	35.3079
0.29	35.1596
0.04	35.9471
0.12	35.8883
