
**** Week 19 almanac for PRN-01 ************
ID:                         01
Health:                     000
Eccentricity:               4.836559296E-003
Time of Applicability(s):   589824.0000
Orbital Inclination(rad):   9.598190188E-001
Rate of Right Ascen(r/s):  -7.657462220E-009
SQRT(A) (m^1/2):            5154.295898
Right Ascen at TOA(rad):    2.907964587E-001
Argument of Perigee(rad):  -1.774625897E+000
Mean Anom(rad):            -5.979731083E-001
Af0(s):                     1.125335693E-004
Af1(s/s):                   0.000000000E+000
week:                       19

**** Week 19 almanac for PRN-02 ************
ID:                         02
Health:                     000
Eccentricity:               1.944828033E-002
Time of Applicability(s):   589824.0000
Orbital Inclination(rad):   9.344424009E-001
Rate of Right Ascen(r/s):  -8.228914439E-009
SQRT(A) (m^1/2):            5153.662109
Right Ascen at TOA(rad):    2.298134565E+000
Argument of Perigee(rad):  -2.150850058E+000
Mean Anom(rad):             2.706688881E+000
Af0(s):                    -1.602172852E-004
Af1(s/s):                  -3.637978807E-012
week:                       19

**** Week 19 almanac for PRN-03 ************
ID:                         03
Health:                     000
Eccentricity:               1.072883606E-003
Time of Applicability(s):   589824.0000
Orbital Inclination(rad):   9.432867765E-001
Rate of Right Ascen(r/s):  -7.840326610E-009
SQRT(A) (m^1/2):            5153.626464
Right Ascen at TOA(rad):   -2.903684855E+000
Argument of Perigee(rad):   1.238861799E+000
Mean Anom(rad):             4.850551486E-001
Af0(s):                     7.534027100E-005
Af1(s/s):                   3.637978807E-012
week:                       19

**** Week 19 almanac for PRN-04 ************
ID:                         04
Health:                     000
Eccentricity:               5.337238312E-003
Time of Applicability(s):   589824.0000
Orbital Inclination(rad):   9.769923687E-001
Rate of Right Ascen(r/s):  -7.897472010E-009
SQRT(A) (m^1/2):            5153.633789
Right Ascen at TOA(rad):   -1.804456115E+000
Argument of Perigee(rad):  -6.461253762E-001
Mean Anom(rad):            -1.243135214E+000
Af0(s):                     6.389617920E-004
Af1(s/s):                   2.910383046E-011
week:                       19

**** Week 19 almanac for PRN-05 ************
ID:                         05
Health:                     000
Eccentricity:               1.921176910E-003
Time of Applicability(s):   589824.0000
Orbital Inclination(rad):   9.374504685E-001
Rate of Right Ascen(r/s):  -8.206056279E-009
SQRT(A) (m^1/2):            5153.725097
Right Ascen at TOA(rad):    2.317195177E+000
Argument of Perigee(rad):   1.733555645E-001
Mean Anom(rad):            -1.404025674E+000
Af0(s):                     2.326965332E-004
Af1(s/s):                   0.000000000E+000
week:                       19

**** Week 19 almanac for PRN-06 ************
ID:                         06
Health:                     000
Eccentricity:               6.793975830E-003
Time of Applicability(s):   589824.0000
Orbital Inclination(rad):   9.507828951E-001
Rate of Right Ascen(r/s):  -7.726036699E-009
SQRT(A) (m^1/2):            5153.511718
Right Ascen at TOA(rad):   -2.862623215E+000
Argument of Perigee(rad):  -2.404597998E+000
Mean Anom(rad):            -4.221196175E-001
Af0(s):                     9.536743164E-007
Af1(s/s):                   0.000000000E+000
week:                       19

**** Week 19 almanac for PRN-07 ************
ID:                         07
Health:                     000
Eccentricity:               1.082754135E-002
Time of Applicability(s):   589824.0000
Orbital Inclination(rad):   9.526584148E-001
Rate of Right Ascen(r/s):  -7.714607619E-009
SQRT(A) (m^1/2):            5153.688964
Right Ascen at TOA(rad):   -2.893906832E+000
Argument of Perigee(rad):  -2.098992109E+000
Mean Anom(rad):             1.508239746E+000
Af0(s):                     2.326965332E-004
Af1(s/s):                   6.184563972E-011
week:                       19

**** Week 19 almanac for PRN-08 ************
ID:                         08
Health:                     000
Eccentricity:               8.573055267E-003
Time of Applicability(s):   589824.0000
Orbital Inclination(rad):   9.573502541E-001
Rate of Right Ascen(r/s):  -7.851755690E-009
SQRT(A) (m^1/2):            5151.529785
Right Ascen at TOA(rad):    1.343519568E+000
Argument of Perigee(rad):   1.783488631E+000
Mean Anom(rad):            -9.748597741E-001
Af0(s):                     6.179809570E-004
Af1(s/s):                   2.182787284E-011
week:                       19

**** Week 19 almanac for PRN-09 ************
ID:                         09
Health:                     000
Eccentricity:               9.830951691E-003
Time of Applicability(s):   589824.0000
Orbital Inclination(rad):   9.433166981E-001
Rate of Right Ascen(r/s):  -8.011762809E-009
SQRT(A) (m^1/2):            5153.649902
Right Ascen at TOA(rad):    1.299306035E+000
Argument of Perigee(rad):   5.702329874E-001
Mean Anom(rad):            -6.710191965E-001
Af0(s):                    -2.574920654E-005
Af1(s/s):                   0.000000000E+000
week:                       19

**** Week 19 almanac for PRN-10 ************
ID:                         10
Health:                     000
Eccentricity:               3.796577454E-003
Time of Applicability(s):   589824.0000
Orbital Inclination(rad):   9.733132124E-001
Rate of Right Ascen(r/s):  -8.091765480E-009
SQRT(A) (m^1/2):            5153.489746
Right Ascen at TOA(rad):   -7.799082398E-001
Argument of Perigee(rad):  -1.362898499E-001
Mean Anom(rad):             2.716493130E+000
Af0(s):                     4.482269287E-005
Af1(s/s):                   0.000000000E+000
week:                       19

**** Week 19 almanac for PRN-11 ************
ID:                         11
Health:                     000
Eccentricity:               2.854347229E-003
Time of Applicability(s):   589824.0000
Orbital Inclination(rad):   9.253463745E-001
Rate of Right Ascen(r/s):  -8.400349749E-009
SQRT(A) (m^1/2):            5153.646484
Right Ascen at TOA(rad):   -1.850920081E+000
Argument of Perigee(rad):  -2.982557774E+000
Mean Anom(rad):             2.846917868E+000
Af0(s):                     4.768371582E-005
Af1(s/s):                   3.274180926E-011
week:                       19

**** Week 19 almanac for PRN-13 ************
ID:                         13
Health:                     000
Eccentricity:               2.261638641E-003
Time of Applicability(s):   589824.0000
Orbital Inclination(rad):   9.639415741E-001
Rate of Right Ascen(r/s):  -7.657462220E-009
SQRT(A) (m^1/2):            5153.577636
Right Ascen at TOA(rad):    2.675219774E-001
Argument of Perigee(rad):  -6.711267233E-001
Mean Anom(rad):             3.035384417E+000
Af0(s):                    -4.491806030E-004
Af1(s/s):                  -2.910383046E-011
week:                       19

**** Week 19 almanac for PRN-14 ************
ID:                         14
Health:                     000
Eccentricity:               4.844665527E-004
Time of Applicability(s):   589824.0000
Orbital Inclination(rad):   9.791495204E-001
